id    notas turmas
1      73     T1
2      56     T1
3      55     T1
4      61     T1
5      94     T1
6      73     T1
7      80     T1
8      98     T1
9      78     T1
10     54     T1
11     45     T1
12     43     T1
13     59     T1
14     78     T1
15     76     T1
16     61     T1
17     49     T1
18     74     T1
19     85     T1
20     68     T1
21     49     T1
22     79     T1
23     61     T1
24     63     T1
25     67     T1
26     54     T1
27     60     T1
28     71     T1
29     75     T1
30     51     T1
31     47     T1
32     61     T1
33     44     T1
34     19     T1
35     43     T1
36     47     T1
37     83     T1
38     75     T1
39     76     T1
40     43     T1
41     44     T1
42     75     T1
43     63     T1
44     47     T1
45     62     T1
46     52     T1
47     46     T1
48     58     T1
49     76     T1
50     42     T1
51     33     T1
52     53     T1
53     65     T1
54     82     T1
55     83     T1
56     55     T1
57     44     T1
58     38     T1
59     56     T1
60     58     T1
61     50     T1
62     65     T1
63     62     T1
64     47     T1
65     69     T1
66     56     T1
67     57     T1
68     60     T1
69     53     T1
70     49     T1
71     80     T1
72     68     T1
73     33     T1
74     67     T1
75     38     T1
76     74     T1
77     49     T1
78     61     T1
79     37     T1
80     25     T1
81     77     T1
82     49     T1
83     36     T1
84     68     T1
85     44     T1
86     61     T1
87     73     T1
88     66     T1
89     68     T1
90     56     T1
91     53     T1
92     79     T1
93     68     T1
94     55     T1
95     71     T1
96     73     T1
97     66     T1
98     84     T1
99     61     T1
100    62     T1
101    47     T1
102    76     T1
103    42     T1
104    69     T1
105    73     T1
106    75     T1
107    41     T1
108    60     T1
109    46     T1
110    79     T1
111    47     T1
112    64     T1
113    59     T1
114    53     T1
115    56     T1
116    54     T1
117    46     T1
118    75     T1
119    54     T1
120    57     T1
121    78     T1
122    36     T1
123    26     T1
124    29     T1
125    50     T1
126    71     T1
127    58     T1
128    65     T1
129    45     T1
130    65     T1
131    61     T1
132    45     T1
133    72     T1
134    68     T1
135    37     T1
136    73     T1
137    57     T1
138    87     T1
139    63     T1
140    48     T1
141    89     T1
142    62     T1
143    55     T1
144    76     T1
145    77     T1
146    48     T1
147    72     T1
148    30     T1
149    55     T1
150    66     T1
151    64     T1
152    74     T1
153    53     T1
154    61     T1
155    58     T1
156    79     T1
157    49     T1
158    83     T1
159    73     T1
160    72     T1
161    52     T2
162    56     T2
163    57     T2
164    30     T2
165    52     T2
166    42     T2
167    36     T2
168    61     T2
169    38     T2
170    51     T2
171    39     T2
172    73     T2
173    65     T2
174    52     T2
175    67     T2
176    52     T2
177    57     T2
178    51     T2
179    75     T2
180    61     T2
181    49     T2
182    55     T2
183    66     T2
184    58     T2
185    60     T2
186    67     T2
187    41     T2
188    49     T2
189    48     T2
190    62     T2
191    39     T2
192    51     T2
193    66     T2
194    57     T2
195    51     T2
196    57     T2
197    59     T2
198    55     T2
199    53     T2
200    51     T2
201    44     T2
202    54     T2
203    62     T2
204    63     T2
205    75     T2
206    64     T2
207    43     T2
208    61     T2
209    58     T2
210    68     T2
211    36     T2
212    60     T2
213    55     T2
214    56     T2
215    64     T2
216    53     T2
217    60     T2
218    51     T2
219    61     T2
220    69     T2
221    70     T2
222    54     T2
223    37     T2
224    55     T2
225    56     T2
226    55     T2
227    49     T2
228    44     T2
229    49     T2
230    66     T2
231    69     T2
232    47     T2
233    64     T2
234    49     T2
235    54     T2
236    52     T2
237    47     T2
238    62     T2
239    49     T2
240    51     T2
241    58     T2
242    53     T2
243    58     T2
244    49     T2
245    55     T2
246    62     T2
247    46     T2
248    51     T2
249    54     T2
250    56     T2
251    58     T2
252    49     T2
253    56     T2
254    60     T2
255    31     T2
256    60     T2
257    61     T2
258    48     T2
259    41     T2
260    61     T2
261    52     T2
262    64     T2
263    65     T2
264    65     T2
265    39     T2
266    81     T2
267    51     T2
268    54     T2
269    48     T2
270    59     T2
271    55     T2
272    58     T2
273    43     T2
274    58     T2
275    61     T2
276    71     T2
277    74     T2
278    54     T2
279    33     T2
280    61     T2
281    51     T2
282    72     T2
283    56     T2
284    65     T2
285    62     T2
286    51     T2
287    58     T2
288    64     T2
289    69     T2
290    52     T2
291    49     T2
292    46     T2
293    65     T2
294    60     T2
295    47     T2
296    34     T2
297    58     T2
298    45     T2
299    79     T2
300    77     T2
301    67     T2
302    62     T2
303    67     T2
304    48     T2
305    45     T2
306    54     T2
307    46     T2
308    50     T2
309    65     T2
310    51     T2
311    17     T2
312    49     T2
313    69     T2
314    62     T2
315    42     T2
316    58     T2
317    62     T2
318    71     T2
319    35     T2
320    67     T2
321    59     T2
322    52     T2
323    56     T2
324    40     T2
325    65     T2
326    42     T2
327    71     T2
328    49     T2
329    70     T2
330    64     T2
331    43     T2
332    61     T2
333    37     T2
334    64     T2
335    54     T2
336    45     T2
337    58     T2
338    57     T2
339    65     T2
340    56     T2
341    60     T2
342    62     T2
343    61     T2
344    56     T2
345    62     T2
346    59     T2
347    45     T2
348    48     T2
349    57     T2
350    45     T2
351    58     T2
352    54     T2
353    52     T2
354    49     T2
355    32     T2
356    61     T2
357    69     T2
358    68     T2
359    39     T2
360    56     T2
361    39     T2
362    66     T2
363    42     T2
364    75     T2
365    38     T2
366    61     T2
367    73     T2
368    48     T2
369    61     T2
370    66     T2
371    56     T2
372    53     T2
373    71     T2
374    70     T2
375    82     T2
376    61     T2
377    66     T2
378    68     T2
379    45     T2
380    29     T2
381    61     T2
382    67     T2
383    48     T2
384    69     T2
385    60     T2
386    68     T2
387    54     T2
388    60     T2
389    42     T2
390    52     T2
