id    durabilidade empresa
1            343       A
2            348       A
3            316       A
4            302       A
5            344       A
6            247       A
7            345       A
8            309       A
9            309       A
10           283       A
11           315       A
12           393       A
13           335       A
14           341       A
15           290       A
16           353       A
17           285       A
18           307       A
19           365       A
20           332       A
21           351       A
22           378       A
23           294       A
24           258       A
25           256       A
26           392       A
27           301       A
28           345       A
29           344       A
30           314       A
31           352       A
32           408       A
33           402       A
34           385       A
35           330       A
36           340       A
37           307       A
38           254       A
39           391       A
40           321       A
41           365       A
42           225       A
43           278       A
44           357       A
45           354       A
46           378       A
47           263       A
48           343       A
49           343       A
50           268       A
51           298       A
52           398       A
53           322       A
54           334       A
55           293       A
56           331       A
57           348       A
58           353       A
59           406       A
60           226       A
61           326       A
62           266       A
63           342       A
64           384       A
65           297       A
66           247       A
67           356       A
68           384       A
69           341       A
70           268       A
71           322       A
72           289       A
73           278       A
74           413       A
75           376       A
76           358       A
77           353       A
78           288       A
79           339       A
80           361       A
81           346       A
82           362       A
83           308       A
84           419       A
85           359       A
86           395       A
87           347       A
88           308       A
89           341       A
90           353       A
91           281       A
92           286       A
93           395       A
94           304       A
95           281       A
96           347       A
97           300       A
98           406       A
99           296       A
100          292       A
101          329       A
102          274       A
103          337       A
104          267       A
105          326       A
106          299       A
107          308       A
108          382       A
109          302       A
110          333       A
111          271       A
112          267       A
113          370       A
114          373       A
115          317       A
116          300       A
117          318       A
118          345       A
119          407       A
120          317       A
121          382       A
122          373       A
123          333       A
124          381       A
125          303       A
126          274       A
127          246       A
128          366       A
129          235       A
130          272       A
131          386       A
132          355       A
133          341       A
134          273       A
135          426       A
136          278       A
137          280       A
138          347       A
139          325       A
140          303       A
141          274       A
142          268       A
143          296       A
144          260       A
145          321       A
146          342       A
147          258       A
148          354       A
149          356       A
150          326       A
151          255       A
152          342       A
153          328       A
154          288       A
155          316       A
156          310       A
157          388       A
158          306       A
159          323       A
160          294       A
161          300       A
162          332       A
163          310       A
164          301       A
165          280       A
166          309       A
167          345       A
168          270       A
169          391       A
170          319       A
171          328       A
172          374       A
173          321       A
174          353       A
175          252       A
176          339       A
177          419       A
178          336       A
179          329       A
180          247       A
181          284       A
182          318       A
183          304       A
184          365       A
185          353       A
186          323       A
187          378       A
188          335       A
189          313       A
190          300       A
191          342       A
192          300       A
193          351       A
194          332       A
195          372       A
196          352       A
197          354       A
198          302       A
199          302       A
200          321       A
201          263       A
202          295       A
203          330       A
204          362       A
205          353       A
206          324       A
207          250       A
208          346       A
209          324       A
210          317       A
211          360       A
212          286       A
213          309       A
214          403       A
215          296       A
216          333       A
217          346       A
218          251       A
219          235       A
220          323       A
221          355       A
222          228       A
223          314       A
224          309       A
225          392       A
226          347       A
227          312       A
228          320       A
229          381       A
230          323       A
231          323       A
232          289       A
233          327       A
234          331       A
235          356       A
236          301       A
237          350       A
238          294       A
239          345       A
240          330       A
241          292       A
242          297       A
243          310       A
244          277       A
245          316       A
246          351       A
247          430       A
248          317       A
249          342       A
250          350       A
251          340       B
252          430       B
253          403       B
254          308       B
255          367       B
256          412       B
257          359       B
258          357       B
259          340       B
260          322       B
261          416       B
262          443       B
263          373       B
264          354       B
265          454       B
266          372       B
267          382       B
268          404       B
269          321       B
270          347       B
271          348       B
272          345       B
273          409       B
274          274       B
275          393       B
276          437       B
277          381       B
278          364       B
279          332       B
280          404       B
281          304       B
282          388       B
283          336       B
284          460       B
285          412       B
286          398       B
287          385       B
288          346       B
289          429       B
290          418       B
291          359       B
292          344       B
293          370       B
294          400       B
295          331       B
296          389       B
297          272       B
298          349       B
299          342       B
300          403       B
301          406       B
302          380       B
303          358       B
304          440       B
305          374       B
306          382       B
307          440       B
308          397       B
309          364       B
310          464       B
311          334       B
312          376       B
313          446       B
314          467       B
315          488       B
316          364       B
317          351       B
318          310       B
319          493       B
320          341       B
321          399       B
322          410       B
323          431       B
324          404       B
325          271       B
326          427       B
327          404       B
328          400       B
329          344       B
330          429       B
331          451       B
332          404       B
333          397       B
334          423       B
335          400       B
336          398       B
337          304       B
338          457       B
339          405       B
340          403       B
341          484       B
342          365       B
343          428       B
344          407       B
345          375       B
346          373       B
347          321       B
348          407       B
349          251       B
350          419       B
351          395       B
352          376       B
353          307       B
354          326       B
355          433       B
356          362       B
357          398       B
358          381       B
359          404       B
360          334       B
361          361       B
362          289       B
363          394       B
364          371       B
365          381       B
366          413       B
367          396       B
368          463       B
369          414       B
370          366       B
371          373       B
372          465       B
373          404       B
374          409       B
375          413       B
376          341       B
377          438       B
378          282       B
379          418       B
380          493       B
381          356       B
382          375       B
383          398       B
384          353       B
385          405       B
386          372       B
387          425       B
388          492       B
389          320       B
390          359       B
391          420       B
392          405       B
393          386       B
394          362       B
395          393       B
396          393       B
397          412       B
398          395       B
399          378       B
400          311       B
401          411       B
402          380       B
403          394       B
404          330       B
405          349       B
406          421       B
407          376       B
408          358       B
409          320       B
410          329       B
411          331       B
412          372       B
413          440       B
414          383       B
415          336       B
416          379       B
417          396       B
418          333       B
419          323       B
420          434       B
421          406       B
422          395       B
423          352       B
424          390       B
425          441       B
426          358       B
427          447       B
428          342       B
429          442       B
430          410       B
