Grupo;SD;DI;Idade_da_crianca;sexo;escola;ocupacao_da_mae;ocupacao_da_mae_Trabalha;ocupacao_da_mae_Lar;ocupacao_do_pai;ocupacao_do_pai_Trabalha;ocupacao do_pai_Lar;idade_da_mae;idade_do_pai;situacao_conjugal;casado;Numero_de_filhos;Tipo_de_moradia;Condicao_de_moradia;Condicao_de_moradia;Moradia_Propria;Moradia_Alugada;media_salarial;PP;CP;PSI;FACES_IV
1;1;0;0;1;1;1;1;0;1;1;0;34;36;3;0;2;1;1;1;1;0;5;171;171;132;201
1;1;0;0;1;1;1;1;0;1;1;0;32;36;1;1;1;0;1;1;1;0;5;176;197;124;200
1;1;0;1;1;1;1;1;0;1;1;0;30;31;1;1;2;1;1;1;1;0;2;179;175;80;220
1;1;0;1;0;1;3;0;1;1;1;0;32;47;3;0;1;1;1;1;1;0;2;179;201;128;227
1;1;0;0;0;1;1;1;0;3;0;1;22;25;4;0;1;1;2;2;0;0;2;162;164;107;222
1;1;0;1;0;1;3;0;1;1;1;0;49;47;2;0;2;1;1;1;1;0;2;152;183;101;219
1;1;0;1;0;1;1;1;0;1;1;0;48;50;1;1;2;1;1;1;1;0;6;160;203;94;205
1;1;0;0;0;1;3;0;1;1;1;0;32;50;1;1;3;1;1;1;1;0;6;171;179;103;233
1;1;0;1;1;1;1;1;0;3;0;1;55;59;1;1;5;1;1;1;1;0;2;147;188;105;211
1;1;0;0;0;1;1;1;0;1;1;0;27;27;1;1;2;1;3;3;0;0;2;177;208;130;226
1;1;0;0;1;1;1;1;0;1;1;0;22;31;1;1;1;1;1;1;1;0;2;178;204;122;225
1;1;0;0;1;1;1;1;0;1;1;0;35;29;1;1;1;1;1;1;1;0;2;171;181;116;218
1;1;0;0;0;1;1;1;0;1;1;0;39;39;1;1;3;1;1;1;1;0;2;163;189;109;222
1;1;0;1;0;1;1;1;0;1;1;0;39;39;1;1;3;1;1;1;1;0;2;163;189;109;222
1;1;0;0;1;1;2;0;0;1;1;0;21;25;2;0;1;0;1;1;1;0;3;153;175;105;159
1;1;0;0;1;1;1;1;0;1;1;0;44;45;1;1;1;1;1;1;1;0;3;130;174;118;194
1;1;0;0;0;1;1;1;0;1;1;0;43;38;1;1;1;0;2;2;0;0;2;192;209;88;218
1;1;0;0;1;1;1;1;0;1;1;0;41;30;3;0;2;1;2;2;0;0;2;185;197;117;217
1;1;0;0;0;1;1;1;0;1;1;0;20;25;1;1;1;1;2;2;0;0;2;153;174;105;170
1;1;0;0;1;1;3;0;1;1;1;0;34;42;2;0;6;1;1;1;1;0;2;166;184;125;186
1;1;0;0;1;1;1;1;0;1;1;0;25;25;1;1;1;1;3;3;0;0;2;155;169;111;184
1;1;0;0;0;1;1;1;0;1;1;0;28;37;2;0;1;1;1;1;1;0;3;164;175;103;150
1;1;0;0;0;1;1;1;0;1;1;0;27;27;1;1;1;1;2;2;0;0;2;157;178;108;209
1;1;0;0;0;1;1;1;0;1;1;0;37;40;1;1;1;1;1;1;1;0;6;153;163;112;210
1;1;0;0;1;1;1;1;0;1;1;0;37;40;1;1;1;1;1;1;1;0;6;156;193;100;185
1;1;0;0;0;1;1;1;0;1;1;0;36;36;1;1;1;0;1;1;1;0;2;177;209;124;245
1;1;0;0;0;1;1;1;0;1;1;0;31;32;2;0;1;0;2;2;0;0;2;158;167;130;192
1;1;0;0;0;1;3;0;1;1;1;0;27;27;1;1;1;1;2;2;0;0;2;161;158;103;226
1;1;0;0;0;1;1;1;0;1;1;0;33;34;1;1;1;0;2;2;0;0;2;174;186;131;211
1;1;0;1;1;1;2;0;0;1;1;0;39;38;1;1;3;0;1;1;1;0;3;165;182;113;210
1;1;0;1;1;1;1;1;0;1;1;0;41;43;1;1;2;1;2;2;0;0;2;160;164;117;222
1;1;0;1;0;1;3;0;1;1;1;0;48;45;1;1;2;1;1;1;1;0;5;170;187;98;206
1;1;0;1;1;1;3;0;1;1;1;0;48;45;1;1;2;1;1;1;1;0;5;170;187;98;206
1;1;0;1;0;1;1;1;0;1;1;0;33;37;1;1;2;1;2;2;0;0;2;136;177;93;200
1;1;0;1;1;1;3;0;1;1;1;0;39;41;1;1;2;1;1;1;1;0;6;166;191;99;213
1;1;0;1;1;1;1;1;0;1;1;0;42;37;2;0;4;1;3;3;0;0;3;162;188;133;210
1;1;0;1;0;1;1;1;0;1;1;0;44;51;1;1;2;1;1;1;1;0;3;167;187;108;213
1;1;0;1;1;1;3;0;1;1;1;0;30;33;1;1;2;1;1;1;1;0;3;131;171;94;204
1;1;0;1;0;1;1;1;0;3;0;1;40;33;1;1;1;1;1;1;1;0;2;159;178;116;196
1;1;0;1;0;1;1;1;0;3;0;1;26;28;5;0;1;1;1;1;1;0;3;135;139;113;196
1;1;0;1;0;1;1;1;0;1;1;0;27;29;1;1;1;1;1;1;1;0;2;184;182;112;217
1;1;0;1;1;1;1;1;0;1;1;0;33;31;2;0;2;1;2;2;0;0;2;164;188;105;203
1;1;0;1;1;1;1;1;0;1;1;0;37;28;2;0;1;1;1;1;1;0;1;164;181;113;189
1;1;0;1;0;1;1;1;0;2;0;0;28;26;2;0;1;0;2;2;0;0;3;146;186;128;222
1;1;0;1;1;1;1;1;0;1;1;0;34;40;3;0;1;0;1;1;1;0;6;174;200;117;218
2;0;1;0;0;0;1;1;0;1;1;0;27;30;1;1;1;0;3;3;0;0;6;125;212;109;205
